,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
472,91791,60772.0,0.6030336923318432,专利授权总量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.6359649598703087,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
473,91787,60772.0,0.5791504898845992,机构专利申请量(年度),t,专利,申请量,ValueOntology.QUANTITY,0.6680683980304761,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
476,91794,60772.0,0.5158252340428081,ICT专利申请量(年度),t,专利,申请量,ValueOntology.QUANTITY,0.7331919268976907,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
480,141305,60772.0,0.5373029725779231,本年度新增注册有色金属冶炼和压延加工业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,1.0751553513134655,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
481,107712,60772.0,0.5372999304585189,每万人互联网和相关服务企业数量,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.QUANTITY_PER_CAPITA,0.7288592978136804,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
482,91788,60772.0,0.5569376507366163,ICT专利授权量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.699253786928105,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
483,140085,60772.0,0.5536114139391151,本年度注销仪器仪表制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,0.9359372519870992,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
487,141201,60772.0,0.502725522399115,本年度新增注册造纸和纸制品业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,1.0417808647962323,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
488,141252,60772.0,0.5428801473165311,本年度新增注册专业技术服务业企业数量,t,行业（企业）,科学研究和技术服务业,ValueOntology.DIFF_QUANTITY,0.5721098542592499,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
491,54245,60772.0,0.5439958688698723,近2年常住人口增长数量（算法T-APP）,t,人口,,ValueOntology.DIFF_QUANTITY,1.5447402922014029,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
