frp,lat,lon,grid,occurred_time
2.08,35.68709,111.24407,19228011,2022-07-07
2.98,35.684352,111.238939,19228011,2022-07-07
1.63,35.678887,111.2287,19222473,2022-07-07
0.87,36.591253,101.488916,14261423,2022-07-07
1.09,35.58074,111.675102,19449479,2022-07-07
1.95,35.669474,110.992171,19100658,2022-07-07
1.27,35.316764,113.340971,20296611,2022-07-07
2.15,34.741101,116.633565,21974258,2022-07-07
3.77,35.69217,110.779628,18989920,2022-07-07
0.81,36.592,101.489823,14261423,2022-07-07
1.03,36.572822,101.52998,14278031,2022-07-07
1.03,36.56728,101.529671,14278031,2022-07-07
1.81,34.571628,117.34313,22334144,2022-07-07
2.86,35.674224,110.654311,18929011,2022-07-07
0.96,35.289992,113.251982,20252312,2022-07-07
3.42,35.586436,111.261692,19239074,2022-07-07
3.1,35.671434,110.649026,18923474,2022-07-07
2.08,35.581836,111.269761,19239073,2022-07-07
1.5,34.513158,117.501657,22417192,2022-07-07
2.63,35.653154,110.654559,18929009,2022-07-07
3.35,35.65193,110.663726,18934546,2022-07-07
0.47,35.95055,108.04211,17600162,2022-07-07
3.42,35.633798,110.589567,18895785,2022-07-07
2.99,35.628194,110.579121,18890247,2022-07-07
2.69,35.625398,110.573855,18884710,2022-07-07
2.41,35.619639,110.593266,18895783,2022-07-07
2.74,35.586235,110.810375,19006520,2022-07-07
4.82,35.604434,110.576121,18890245,2022-07-07
3.26,35.601023,110.575411,18890244,2022-07-07
1.8,35.481939,111.354078,19283358,2022-07-07
0.99,36.440909,101.603129,14316776,2022-07-07
1.73,35.554221,110.481526,18840406,2022-07-07
2.32,35.546124,110.489232,18845942,2022-07-07
1.95,35.192446,112.853495,20047432,2022-07-07
1.54,35.416537,111.304005,19261203,2022-07-07
1.67,35.413797,111.298932,19255665,2022-07-07
1.54,35.413183,111.303293,19261202,2022-07-07
1.54,35.41258,111.307675,19261202,2022-07-07
2.21,35.411315,111.304977,19261202,2022-07-07
1.49,35.403622,111.334904,19272275,2022-07-07
1.73,35.404617,111.303533,19261201,2022-07-07
0.77,36.269072,102.962905,15008882,2022-07-07
0.9,35.322175,111.634006,19427302,2022-07-07
1.24,35.140316,112.618221,19931149,2022-07-07
3.88,35.616581,109.063665,18120603,2022-07-07
1.58,35.342038,111.087689,19150454,2022-07-07
1.41,35.287143,111.316045,19266725,2022-07-07
0.97,35.279841,111.318973,19266725,2022-07-07
1.78,35.085183,112.554934,19897921,2022-07-07
1.87,36.02707,104.058096,15568092,2022-07-07
1.44,35.04642,112.541825,19892380,2022-07-07
1.45,34.821029,113.281008,20268870,2022-07-07
2.79,33.873638,118.339536,22843470,2022-07-07
1.59,34.654964,113.379261,20318685,2022-07-07
1.76,34.028798,116.810864,22062770,2022-07-07
1.78,34.690958,112.939213,20091672,2022-07-07
1.83,33.570356,118.992831,23175656,2022-07-07
5.77,33.941391,117.126403,22223334,2022-07-07
5.77,33.942455,117.121005,22223334,2022-07-07
1.06,33.562266,118.990381,23175655,2022-07-07
1.36,35.470855,106.685436,16907984,2022-07-07
2.2,34.807691,111.801296,19510300,2022-07-07
1.16,34.782205,111.925881,19576741,2022-07-07
1.54,34.739166,112.056303,19643180,2022-07-07
0.85,35.05056,109.057085,18115003,2022-07-07
1.79,34.730337,111.407059,19310959,2022-07-07
0.97,35.028442,109.027123,18098390,2022-07-07
0.97,35.027835,109.032043,18103926,2022-07-07
1.03,35.008673,108.97693,18076239,2022-07-07
1.52,34.963902,109.219675,18198048,2022-07-07
3.11,34.526854,112.243227,19737286,2022-07-07
1.26,34.934134,109.223799,18198045,2022-07-07
1.06,34.373289,113.071326,20158081,2022-07-07
0.94,34.946951,109.019756,18092843,2022-07-07
1.29,34.319325,113.342456,20296500,2022-07-07
1.74,34.929788,109.069148,18120527,2022-07-07
